Country Name,Region,Year,Value
Africa Eastern and Southern,Africa,1960,24205688712.0
Africa Western and Central,Africa,1960,11904805742.0
Argentina,South America,1960,15865474315.0
Australia,Oceania,1960,18635682982.0
Austria,Europe,1960,6624086313.0
Burundi,Africa,1960,195999990.0
Belgium,Europe,1960,11810619368.0
Benin,Africa,1960,226195578.4
Burkina Faso,Africa,1960,330442815.8
Bangladesh,Asia,1960,4274894083.0
"Bahamas, The",North America,1960,169736027.2
Belize,North America,1960,28072478.07
Bermuda,North America,1960,72400000.0
Bolivia,South America,1960,377020202.0
Brazil,South America,1960,17030465539.0
Barbados,North America,1960,80021846.95
Botswana,Africa,1960,30411413.66
Central African Republic,Africa,1960,112155598.5
Canada,North America,1960,40563768947.0
Switzerland,Europe,1960,10412232621.0
Chile,South America,1960,4211103677.0
China,Asia,1960,59846235025.0
Cote d'Ivoire,Africa,1960,546203559.3
Cameroon,Africa,1960,614206068.5
"Congo, Dem. Rep.",Africa,1960,3359404118.0
"Congo, Rep.",Africa,1960,131731862.8
Colombia,South America,1960,4031152977.0
Costa Rica,North America,1960,507513830.0
Caribbean small states,North America,1960,1165303060.0
Germany,Europe,1960,84619845881.0
Denmark,Europe,1960,6361166545.0
Dominican Republic,North America,1960,672399700.0
Algeria,Africa,1960,2723615451.0
East Asia & Pacific (excluding high income),Asia,1960,80886065110.0
Early-demographic dividend,Global,1960,144722000000.0
East Asia & Pacific,Oceania,1960,157319000000.0
Europe & Central Asia,Europe,1960,426666000000.0
Ecuador,South America,1960,2069464937.0
"Egypt, Arab Rep.",Africa,1960,4206270352.0
Euro area,Europe,1960,251618000000.0
Spain,Europe,1960,12424514014.0
Ethiopia,Africa,1960,1610511694.0
European Union,Europe,1960,285152000000.0
Fragile and conflict affected situations,Global,1960,34029503593.0
Finland,Europe,1960,5279481824.0
Fiji,Oceania,1960,112328422.1
France,Europe,1960,61959085885.0
Gabon,Africa,1960,141468977.8
United Kingdom,Europe,1960,73233967692.0
Ghana,Africa,1960,1217230095.0
Greece,Europe,1960,4274890307.0
Guatemala,North America,1960,1043599900.0
Guyana,South America,1960,170216241.1
High income,Global,1960,1093430000000.0
"Hong Kong SAR, China",Asia,1960,1320796652.0
Honduras,North America,1960,475650000.0
Heavily indebted poor countries (HIPC),Global,1960,21923722128.0
Haiti,North America,1960,273187200.0
IBRD only,Global,1960,306261000000.0
IDA & IBRD total,Global,1960,351708000000.0
IDA total,Global,1960,43419063136.0
IDA blend,Global,1960,12401501562.0
IDA only,Global,1960,32210089126.0
India,Asia,1960,37029883876.0
Ireland,Europe,1960,1998550222.0
"Iran, Islamic Rep.",Asia,1960,4199134390.0
Iraq,Asia,1960,1537252193.0
Iceland,Europe,1960,260984498.8
Israel,Asia,1960,3070585807.0
Italy,Europe,1960,42012422612.0
Jamaica,North America,1960,699064380.4
Japan,Asia,1960,47419238274.0
Kenya,Africa,1960,791265459.5
St. Kitts and Nevis,North America,1960,12366635.75
"Korea, Rep.",Asia,1960,3973069307.0
Latin America & Caribbean (excluding high income),South America,1960,61872048054.0
Liberia,Africa,1960,190495600.0
Libya,Africa,1960,401644248.9
Latin America & Caribbean,South America,1960,79218932628.0
Least developed countries: UN classification,Global,1960,28083812111.0
Sri Lanka,Asia,1960,1409873950.0
Lower middle income,Global,1960,85718645235.0
Low & middle income,Global,1960,266021000000.0
Lesotho,Africa,1960,34579986.17
Late-demographic dividend,Global,1960,183859000000.0
Luxembourg,Europe,1960,709941874.0
Morocco,Africa,1960,2037154742.0
Madagascar,Africa,1960,673081724.8
"Middle East, North Africa, Afghanistan & Pakistan",Asia,1960,29024394855.0
Mexico,North America,1960,13040000000.0
Middle income,Global,1960,254381000000.0
Myanmar,Asia,1960,545098447.6
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",Asia,1960,21951472906.0
Mauritius,Africa,1960,162089563.8
Malaysia,Asia,1960,1916229477.0
North America,North America,1960,582625000000.0
Niger,Africa,1960,449526873.3
Nigeria,Africa,1960,4196174502.0
Nicaragua,North America,1960,227223322.1
Netherlands,Europe,1960,13282979015.0
Norway,Europe,1960,5197398721.0
Nepal,Asia,1960,508334414.0
New Zealand,Oceania,1960,5536098360.0
OECD members,Europe,1960,1061500000000.0
Oman,Asia,1960,44234656.45
Pakistan,Asia,1960,3749265015.0
Panama,North America,1960,537147100.0
Peru,South America,1960,2571986572.0
Philippines,Asia,1960,7515894111.0
Papua New Guinea,Oceania,1960,230496036.9
Pre-demographic dividend,Global,1960,24364156194.0
Puerto Rico (US),North America,1960,1691900000.0
Portugal,Europe,1960,3339150158.0
Paraguay,South America,1960,288884368.0
Post-demographic dividend,Global,1960,1036850000000.0
Rwanda,Africa,1960,119000024.0
South Asia,Asia,1960,43270012739.0
Saudi Arabia,Asia,1960,1748124064.0
Sudan,Africa,1960,1126364162.0
Senegal,Africa,1960,1003692370.0
Singapore,Asia,1960,704751700.3
Sierra Leone,Africa,1960,322009961.5
"Somalia, Fed. Rep.",Africa,1960,180459936.8
Sub-Saharan Africa (excluding high income),Africa,1960,34318581555.0
Sub-Saharan Africa,Africa,1960,35992821735.0
Suriname,South America,1960,99650000.0
Sweden,Europe,1960,15930075467.0
Eswatini,Africa,1960,35076845.97
Seychelles,Africa,1960,12012024.62
Syrian Arab Republic,Asia,1960,857704413.4
Chad,Africa,1960,313582728.1
East Asia & Pacific (IDA & IBRD countries),Asia,1960,80803222393.0
Togo,Africa,1960,171057069.1
Thailand,Asia,1960,2760750861.0
Latin America & the Caribbean (IDA & IBRD countries),South America,1960,74399051116.0
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",Asia,1960,21778972839.0
South Asia (IDA & IBRD),Asia,1960,43270012739.0
Sub-Saharan Africa (IDA & IBRD countries),Africa,1960,35992821735.0
Trinidad and Tobago,North America,1960,535673252.5
